URL,Tieu de hien tai,Cum hien tai,Cum de xuat,Loai gap,Chi tiet gap,Uu tien,Do sau research
/mua-textlink/,Mua Textlink,Money page - Mua Textlink,Giữ nguyên,Thiếu case study/testimonial; thiếu trust signal,"Trang chỉ nêu ""34+ trang đã hợp tác"" (nguồn cung, không phải trust signal về Digicom). Đối thủ (DanaSEO, SEOViP) có testimonial tên+công ty, MST công khai, ""10-13+ năm kinh nghiệm"". Digicom chưa nêu năm thành lập/MST/số dự án trên trang.",Cao,Sâu
/dich-vu-backlink/,Dịch vụ Backlink,Money page - Dịch vụ Backlink,Giữ nguyên,Thiếu case study; bảng giá không hiện trực tiếp; thiếu trust signal,"Không có bảng giá on-page (phải bấm riêng), không testimonial. Đối thủ SEOViP/Fame Media có case study, ""13+ năm kinh nghiệm"", quy trình 6 bước rõ timeline.",Cao,Sâu
/guest-post/,Guest Post,Money page - Guest Post,Giữ nguyên,Thiếu case study/testimonial; thiếu quy trình hiển thị trên trang,"Điểm mạnh: bảng giá 225+ site + widget tính combo, tốt hơn hầu hết đối thủ. Thiếu testimonial, thiếu quy trình các bước hiển thị (guestpost.vn có 5 testimonial + quy trình 3 bước).",TB,Sâu
/backlink-social-entity/,Backlink Social Entity,Money page - Backlink Social Entity,Giữ nguyên,Bảng giá chưa hiện trực tiếp; thiếu case study; thiếu trust signal,"Nội dung giáo dục tốt nhưng giá gói chỉ nhắc trong FAQ, không số cụ thể. Đối thủ (Fame Media, SEOTOP) hiện giá ngay trên trang, quy trình 8 bước, 4 testimonial tên/chức danh, năm thành lập/MST công khai.",TB-Cao,Sâu
/backlink-quoc-te/,Backlink quốc tế,Money page - Backlink quốc tế,Giữ nguyên,Thiếu trust signal; thiếu case study,"Trang Digicom chỉ có bảng giá + widget + hotline, KHÔNG có tín hiệu tin cậy nào - trong khi đối thủ (IAC Digital, WIFIM) công khai ""3.000+ khách hàng"", badge Google Partner, MST, tên CEO. Đây là dịch vụ giá cao (Forbes/Bloomberg/WSJ) cần niềm tin lớn hơn.",Cao,Sâu
/dich-vu-toplist/,Dịch vụ Toplist,Money page - Dịch vụ Toplist,Giữ nguyên,Thiếu trust signal; thiếu case study,"Điểm mạnh: bảng giá 20+ site + widget, minh bạch hơn đối thủ. Nhưng DanaSEO có 3 testimonial tên thật, claim ""1000+ khách hàng"", logo đối tác Traveloka/FPT Shop, rating 4.6/5 - mảng social proof Digicom hoàn toàn thiếu.",TB,Sâu
/dich-vu-backlink/bat-dong-san/,Backlink Bất động sản,Money page - Backlink Bất động sản,Giữ nguyên,Bảng giá chưa minh bạch; nội dung ngách chưa chuyên biệt hoá,"Chỉ 5 H2 chung chung, không đoạn nào giải thích đặc thù ngành BĐS (pháp lý dự án, entity địa danh), không bảng giá, không danh sách site theo ngành. Đối thủ có đoạn riêng BĐS + bảng giá 3 gói + danh sách site kèm DA/PA/DR. Trang ngách lẽ ra phải SÂU HƠN trang mẹ nhưng lại sơ sài hơn.",Cao,Sâu
/seo-woocommerce/,SEO WooCommerce 2026: 12 Bước và Plugin Stack Chuẩn,SEO E-commerce,SEO E-commerce,Không có gap lớn,"Plugin stack (Rank Math Pro, WP Rocket, ShortPixel) còn hiện hành, chưa phát hiện thông tin sai/lỗi thời.",Thấp,Nhanh
/seo-trang-san-pham/,"SEO Trang Sản Phẩm 2026: Template Chuẩn, Schema JSON-LD và Cách Tránh Duplicate Content",SEO E-commerce,SEO E-commerce,Không có gap lớn,"Có Product + Breadcrumb schema, checklist rõ ràng, nội dung nhất quán với hướng dẫn hiện hành.",Thấp,Nhanh
/seo-trang-danh-muc/,SEO Trang Danh Mục: Hướng Dẫn Toàn Diện 2026,SEO E-commerce,SEO E-commerce,Thiếu nguồn/bằng chứng,"Case study ""thêm 150 từ intro text, traffic tăng 140% sau 3 tháng"" không có tên khách hàng/nguồn kiểm chứng - vi phạm rule content-professional.",TB,Nhanh
/seo-shopify/,"SEO Shopify 2026: 5 Hạn Chế Mặc Định, 12 Bước Tối Ưu và App Đề Xuất",SEO E-commerce,SEO E-commerce,Không có gap lớn,"Nội dung khớp thực tế Shopify hiện tại, có Schema Author/Article/Organization.",Thấp,Nhanh
/seo-ecommerce/,"SEO E-commerce 2026: Framework 5 Nhóm, Checklist 20 Điểm Và So Sánh Nền Tảng",SEO E-commerce,SEO E-commerce,Thiếu nhất quán định dạng,Không có FAQ schema formal dù các bài khác cùng cụm đều có - nên bổ sung để đồng bộ chuẩn AEO/FAQ schema toàn site.,Thấp,Nhanh
/schema-ecommerce/,Schema Ecommerce: 6 Loại Bắt Buộc và JSON-LD Mẫu,SEO E-commerce,SEO E-commerce,Không có gap lớn,"6 loại schema (Product/Offer/AggregateRating/BreadcrumbList/ItemList/FAQPage) đầy đủ, đúng chuẩn hiện hành.",Thấp,Nhanh
/voice-search-seo/,Voice Search SEO: 8 Kỹ Thuật Tối Ưu Hiệu Quả 2026,SEO & AI (GEO),SEO & AI (GEO),Lỗi thời / thiếu cập nhật xu hướng,"Chỉ nhắc Google Assistant + Siri nhưng KHÔNG đề cập: Google Assistant khai tử (hạn chót 3/2026, thay bằng Gemini); Apple ký thoả thuận 12/1/2026 dùng Gemini cho Siri. Xử lý voice search tách biệt khỏi AI Overview/GEO - trái xu hướng ""Search Everywhere Optimization"" hiện tại. Stat ""27% mobile users voice search weekly"" không có nguồn.",Cao,Sâu
/seo-trong-thoi-dai-ai/,SEO Trong Thời Đại AI 2026: Framework 4 Chiều Và Chiến Lược Thực Chiến Cho SME Việt Nam,SEO & AI (GEO),SEO & AI (GEO),Thiếu khái niệm quan trọng,"Hoàn toàn KHÔNG nhắc ""AI Mode"" (0 kết quả khi quét) - tính năng tìm kiếm AI riêng biệt, hơn 1 tỷ user/tháng (Google I/O 5/2026), chỉ 14% URL trích dẫn trùng AI Overview. Stat ""AI Overview 50-60% search Mỹ"" hơi cao so nguồn gốc BrightEdge (~47-48%).",Cao,Sâu
/google-sge/,"Google SGE Là Gì? Lịch Sử Ra Đời, Sự Khác Biệt Với AI Overview Và Cơ Hội SEO 2026",SEO & AI (GEO),SEO & AI (GEO),Thiếu cập nhật tiếp nối,"Xử lý ĐÚNG mốc SGE→AI Overview (I/O 5/2024) nhưng dừng ở đó, chưa cập nhật giai đoạn 3 ""AI Mode"" (ra mắt cuối 2025, hơn 1 tỷ user/tháng giữa 2026).",TB,Sâu
/geo-generative-engine-optimization/,GEO Là Gì? Generative Engine Optimization 2026,SEO & AI (GEO),SEO & AI (GEO),Thiếu hướng dẫn kỹ thuật cụ thể,"Trích đúng nghiên cứu Princeton (KDD 2024) khớp chính xác - đáng tin. Nhưng thiếu: ví dụ structured data/schema cụ thể để AI trích dẫn, case study có nguồn, không link trực tiếp paper Princeton dù có nhắc tên - vi phạm external-link-eeat.md.",Cao,Sâu
/ai-overview/,"(Bài ""AI Overview"")",SEO & AI (GEO),SEO & AI (GEO),Lỗi thời / thiếu nguồn / thiếu khái niệm,"Gap nghiêm trọng nhất: stat ""13,14% search trigger AI Overview (tới 3/2025)"" đã LỖI THỜI NẶNG - dữ liệu 2026 thực tế 47-60% (tăng 3-4 lần). Stat ""58-61% giảm CTR"" khá khớp thực tế nhưng không ghi nguồn. Claim ""FAQ schema tăng 60% khả năng vào AI Overview"" có dấu hiệu diễn giải sai nguồn gốc (tương quan Featured Snippet, không phải riêng FAQ). Không nhắc ""AI Mode"".",Cao,Sâu
/tu-khoa-canh-tranh/,Từ Khóa Cạnh Tranh: 3 Chỉ Số Đánh Giá và Khi Nào Nên Bỏ,Nghiên cứu từ khoá,Nghiên cứu từ khoá,Không có gap lớn,"Công thức KD/SD/CPC + quy trình 4 bước hợp lý, công cụ còn hiện hành.",Thấp,Nhanh
/search-intent/,Search Intent Là Gì? 4 Loại và Cách Tối Ưu SEO,Nghiên cứu từ khoá,Nghiên cứu từ khoá,Không có gap lớn,"Nội dung toàn diện, không phát hiện thông tin sai/lỗi thời.",Thấp,Nhanh
/long-tail-keyword/,Long Tail Keyword Là Gì? Cách Tìm và Ứng Dụng Thực Tế Cho SEO,Nghiên cứu từ khoá,Nghiên cứu từ khoá,Số liệu cũ chưa rõ nguồn,"Stat ""70% search là long-tail"" lặp lại rộng rãi nhưng gốc từ nghiên cứu cũ (~2007, trước mobile/voice/AI search) - không có nguồn cập nhật 2026.",TB,Nhanh
